;id;track_name;size_bytes;currency;price;rating_count_tot;rating_count_ver;user_rating;user_rating_ver;ver;cont_rating;prime_genre;sup_devices.num;ipadSc_urls.num;lang.num;vpp_lic;KPI;Moyenne rating;Moyenne dl;Moyenne prix;;
1;281656475;PAC-MAN Premium;100788224;USD;3,99;21292;26;4;4.5;6.3.5;4+;Games;38;5;10;1;0,044470872;3,529288703;12940,29149;1,726179916;2641,108437;4,850543697
2;281796108;Evernote - stay organized;158578688;USD;0;161065;26;4;3.5;8.2.2;4+;Productivity;37;5;23;1;0,336036457;;;;3000,643785;5,510850517
3;281940292;WeatherBug - Local Weather, Radar, Maps, Alerts;100524032;USD;0;188583;2822;3,5;4.5;5.0.0;4+;Weather;37;5;3;1;0,393441659;Max;35,05088102;;2846,217364;5,227237739
4;282614216;eBay: Best App to Buy, Sell, Save! Online Shopping;128512000;USD;0;262241;649;4;4.5;5.10.0;12+;Shopping;37;5;9;1;0,547107022;Min;0,001836556;;3828,808361;7,031821186
5;282935706;Bible;92774400;USD;0;985920;5320;4,5;5;7.5.1;4+;Reference;37;5;45;1;2,056828168;Moyenne;1;;8363,237314;15,35955414
6;283619399;Shanghai Mahjong;10485713;USD;0,99;8253;5516;4;4;1.8;4+;Games;47;5;1;1;0,017250496;;;;991,7767653;1,821453625
7;283646709;PayPal - Send and request money safely;227795968;USD;0;119487;879;4;4.5;6.12.0;4+;Finance;37;0;19;1;0,249297586;;;;2584,488782;4,746558526
8;284035177;Pandora - Music & Radio;130242560;USD;0;1126879;3594;4;4.5;8.4.1;12+;Music;37;4;1;1;2,350890839;;;;7936,907903;14,57657628
9;284666222;PCalc - The Best Calculator;49250304;USD;9,99;1117;4;4,5;5;3.6.6;4+;Utilities;37;5;1;1;0,002421983;;;;1052,502157;1,932979211
10;284736660;Ms. PAC-MAN;70023168;USD;3,99;7885;40;4;4;4.0.4;4+;Games;38;0;10;1;0,01650156;;;;1607,297214;2,951891433
11;284791396;Solitaire by MobilityWare;49618944;USD;4,99;76720;4017;4,5;4.5;4.10.1;4+;Games;38;4;11;1;0,160111573;;;;6244,465085;11,46831017
12;284815117;SCRABBLE Premium;227547136;USD;7,99;105776;166;3,5;2.5;5.19.0;4+;Games;37;0;6;1;0,220741997;;;;7133,11286;13,10036163
13;284815942;Google – Search made just for mobile;179979264;USD;0;479440;203;3,5;4;27.0;17+;Utilities;37;4;33;1;1,000219466;;;;4538,195778;8,334650944
14;284847138;Bank of America - Mobile Banking;160925696;USD;0;119773;2336;3,5;4.5;7.3.8;4+;Finance;37;0;2;1;0,249892145;;;;2268,281334;4,165825824
15;284862767;FreeCell;55153664;USD;4,99;6340;668;4,5;4.5;4.0.3;4+;Games;38;5;2;1;0,013286769;;;;1795,217159;3,297016948
16;284876795;TripAdvisor Hotels Flights Restaurants;207907840;USD;0;56194;87;4;3.5;21.1;4+;Travel;37;1;26;1;0,117257485;;;;1772,398375;3,255108971
17;284882215;Facebook;389879808;USD;0;2974676;212;3,5;3.5;95.0;4+;Social Networking;37;1;29;1;6,20571161;;;;11304,08853;20,76059225
18;284910350;Yelp - Nearby Restaurants, Shopping & Services;167407616;USD;0;223885;3726;4;4.5;11.15.0;12+;Travel;37;5;18;1;0,467089798;;;;3537,740505;6,497258752
20;284993459;Shazam - Discover music, artists, videos & lyrics;147093504;USD;0;402925;136;4;4.5;11.0.3;12+;Music;37;3;16;1;0,840598081;;;;4745,971781;8,716243221
21;285005463;Crash Bandicoot Nitro Kart 3D;10735026;USD;2,99;31456;4178;4;3.5;1.0.0;4+;Games;47;0;1;1;0,065668468;;;;2838,613404;5,213272641
22;285946052;iQuran;70707916;USD;1,99;2929;966;4,5;4.5;3.3;4+;Reference;43;0;2;1;0,006152059;;;;832,7340549;1,529362772
23;285994151;:) Sudoku +;6169600;USD;2,99;11447;781;5;5;5.2.6;4+;Games;40;5;1;1;0,023930419;;;;2150,745218;3,949964157
24;286058814;Yahoo Sports - Teams, Scores, News & Highlights;130583552;USD;0;137951;131;4;4.5;6.9;4+;Sports;37;2;6;1;0,287816671;;;;2777,004004;5,100123524
25;286070473;Mileage Log | Fahrtenbuch;71203840;USD;5,99;8;0;4,5;0;9.0.5;4+;Business;37;5;3;1;8,33843E-05;;;;73,6269929;0,1352201
27;286799607;Cleartune - Chromatic Tuner;11423008;USD;3,99;3241;297;4;4;2.1.3;4+;Music;43;2;10;1;0,006813376;;;;1030,562442;1,892685694
28;286906691;Lifesum – Inspiring healthy lifestyle app;188017664;USD;0;5795;12;3,5;4;8.4.1;4+;Health & Fitness;37;5;11;1;0,012114402;;;;498,9761992;0,916397761
29;286911400;Hangman.;4765696;USD;0;42316;248;3;3.5;2.0.6;9+;Games;38;0;1;1;0,088301414;;;;1163,676931;2,137157916
31;288113403;iTranslate - Language Translator & Dictionary;287933440;USD;0;123215;25;3,5;5;10.5.4;4+;Productivity;37;5;23;1;0,25707275;;;;2300,642802;4,225259472
32;288120394;TouchOSC;4263936;USD;4,99;782;7;4;3.5;1.9.8;4+;Music;43;1;1;1;0,001689737;;;;559,9872498;1,028447975
33;288419283;RadarScope;172772352;USD;9,99;3449;23;4;4.5;3.4.1;4+;Weather;37;5;1;1;0,007284851;;;;1641,235052;3,014220176
34;288429040;LinkedIn;273844224;USD;0;71856;62;3,5;4.5;9.1.32;4+;Social Networking;37;2;23;1;0,149929029;;;;1756,912703;3,226668667
35;289084315;Period Tracker Deluxe;40216576;USD;1,99;13350;489;4,5;5;9.6;12+;Health & Fitness;38;0;15;1;0,027892061;;;;1777,581057;3,264627256
36;289446241;Election 2016 Map;2386944;USD;0,99;137;0;3;0;5.0;4+;Entertainment;37;1;1;1;0,000314949;;;;97,0250163;0,178191881
37;289523017;Blackjack by MobilityWare;105431040;USD;0;180087;1101;3,5;4.5;5.5.3;12+;Games;37;5;5;1;0,375717539;;;;2781,365284;5,108133259
39;289894882;White Noise;44129280;USD;0,99;33426;299;4;5;7.2;4+;Health & Fitness;37;5;3;1;0,06976571;;;;1995,861488;3,665511504
40;290638154;iHeartRadio – Free Music & Radio Stations;116443136;USD;0;293228;110;4;3;8.0.0;12+;Music;37;5;2;1;0,611751242;;;;4048,703425;7,435670798
41;290807369;Line Rider iRide™;1646592;USD;1,99;21609;69;3,5;2.5;2.4;9+;Entertainment;40;0;1;1;0,045117585;;;;1759,795404;3,231962909
42;290986013;Deliveries: a package tracker;30016512;USD;4,99;4684;10;4;4;8.0.3;4+;Utilities;37;4;9;1;0,009829981;;;;1369,783894;2,515684907
43;291430598;Hurricane Pro;29518848;USD;2,99;2104;0;4,5;0;5.2;17+;Weather;37;0;1;1;0,004437226;;;;827,2075785;1,519213089
47;292421271;Fieldrunners;66872320;USD;2,99;41633;6;4;3;1.7.177604;9+;Games;37;0;1;1;0,086899443;;;;3265,665265;5,997577323
48;292628469;Juxtaposer;45229056;USD;2,99;3610;7;4,5;5;3.8.2;4+;Photo & Video;37;5;1;1;0,007579001;;;;1083,433347;1,989786076
49;292738169;Deezer - Listen to your Favorite Music & Playlists;127470592;USD;0;4677;12;3;4;6.19.0;12+;Music;37;5;21;1;0,009779976;;;;386,9056733;0,710573958
50;293118835;iStellar;44241920;USD;3,99;30;0;3,5;0;2.9.0;4+;Navigation;37;0;2;0;0,000112591;;;;88,33885975;0,162239268
51;293523031;Sonos Controller;107983872;USD;0;48905;2691;4,5;4.5;7.2;4+;Music;37;4;12;1;0,102053461;;;;1862,663625;3,420886163
52;293573778;Avertinoo;8044544;USD;4,99;32;0;3;0;3.9.2;4+;Navigation;38;5;7;1;0,000120935;;;;86,97946087;0,159742656
